Rk,Date,G,Age,Tm,Location,Opp,Result,Goals,Assists,PTS,PIM,Player
1,2000-10-06,1,18,MIN,A,MDA,L,1,0,1,0,Marian Gaborik
2,2000-10-07,2,18,MIN,A,PHX,L,0,0,0,2,Marian Gaborik
3,2000-10-11,3,18,MIN,H,PHI,T,1,0,1,0,Marian Gaborik
4,2000-10-13,4,18,MIN,A,STL,L,0,0,0,0,Marian Gaborik
5,2000-10-15,5,18,MIN,H,EDM,L,0,1,1,0,Marian Gaborik
6,2000-10-18,6,18,MIN,H,TBL,W,2,0,2,0,Marian Gaborik
7,2000-10-20,7,18,MIN,H,SJS,L,0,0,0,0,Marian Gaborik
8,2000-10-22,8,18,MIN,H,FLA,T,0,0,0,0,Marian Gaborik
9,2000-10-24,9,18,MIN,A,MTL,T,0,0,0,2,Marian Gaborik
10,2000-10-25,10,18,MIN,A,TOR,L,0,0,0,0,Marian Gaborik
11,2000-10-27,11,18,MIN,H,CGY,W,0,1,1,0,Marian Gaborik
12,2000-10-29,12,18,MIN,H,CHI,L,1,1,2,2,Marian Gaborik
13,2000-11-03,13,18,MIN,A,EDM,L,0,0,0,0,Marian Gaborik
14,2000-11-05,14,18,MIN,A,CGY,W,0,0,0,0,Marian Gaborik
15,2000-11-07,15,18,MIN,A,COL,L,0,0,0,0,Marian Gaborik
16,2000-11-08,16,18,MIN,H,CGY,L,0,0,0,0,Marian Gaborik
17,2000-11-10,17,18,MIN,A,CHI,W,1,0,1,0,Marian Gaborik
18,2000-11-12,18,18,MIN,H,EDM,L-OT,0,1,1,2,Marian Gaborik
19,2000-11-15,19,18,MIN,H,NYR,L,0,0,0,0,Marian Gaborik
20,2000-11-30,20,18,MIN,A,PHX,L,0,0,0,0,Marian Gaborik
21,2000-12-02,21,18,MIN,A,LAK,L,0,0,0,0,Marian Gaborik
22,2000-12-07,22,18,MIN,A,CHI,W,0,1,1,2,Marian Gaborik
23,2000-12-08,23,18,MIN,H,MDA,L-OT,0,0,0,2,Marian Gaborik
24,2000-12-10,24,18,MIN,H,NSH,L,0,0,0,0,Marian Gaborik
25,2000-12-13,25,18,MIN,H,CAR,T,0,0,0,0,Marian Gaborik
26,2000-12-14,26,18,MIN,A,WSH,L,0,0,0,0,Marian Gaborik
27,2000-12-17,27,18,MIN,H,DAL,W,1,1,2,0,Marian Gaborik
28,2000-12-20,28,18,MIN,H,OTT,T,0,1,1,0,Marian Gaborik
29,2000-12-22,29,18,MIN,H,LAK,W,0,0,0,0,Marian Gaborik
30,2000-12-27,30,18,MIN,A,DET,W,1,0,1,0,Marian Gaborik
31,2000-12-29,31,18,MIN,H,PHX,T,0,0,0,0,Marian Gaborik
32,2000-12-31,32,18,MIN,H,MDA,W,0,0,0,0,Marian Gaborik
33,2001-01-03,33,18,MIN,H,ATL,T,0,0,0,0,Marian Gaborik
34,2001-01-05,34,18,MIN,H,DET,W,0,0,0,0,Marian Gaborik
35,2001-01-10,35,18,MIN,H,WSH,W,0,0,0,2,Marian Gaborik
36,2001-01-12,36,18,MIN,H,COL,L,0,0,0,0,Marian Gaborik
37,2001-01-14,37,18,MIN,A,NYR,L,0,0,0,0,Marian Gaborik
38,2001-01-15,38,18,MIN,A,CBJ,L,0,0,0,0,Marian Gaborik
39,2001-01-17,39,18,MIN,H,CBJ,W,1,0,1,0,Marian Gaborik
40,2001-01-19,40,18,MIN,H,NYI,W,0,1,1,0,Marian Gaborik
41,2001-01-21,41,18,MIN,H,NJD,L,0,1,1,0,Marian Gaborik
42,2001-01-24,42,18,MIN,A,MDA,W,0,1,1,0,Marian Gaborik
43,2001-01-27,43,18,MIN,A,LAK,W,2,0,2,0,Marian Gaborik
44,2001-01-30,44,18,MIN,A,VAN,L-OT,1,1,2,0,Marian Gaborik
45,2001-02-06,45,18,MIN,A,TBL,W,1,0,1,0,Marian Gaborik
46,2001-02-07,46,18,MIN,A,FLA,L,0,0,0,0,Marian Gaborik
47,2001-02-09,47,18,MIN,A,DAL,W,1,1,2,0,Marian Gaborik
48,2001-02-11,48,18,MIN,H,PIT,W,0,1,1,0,Marian Gaborik
49,2001-02-14,49,19,MIN,A,PIT,L,0,0,0,4,Marian Gaborik
50,2001-02-16,50,19,MIN,H,LAK,L,0,0,0,0,Marian Gaborik
51,2001-02-18,51,19,MIN,H,SJS,W,0,1,1,0,Marian Gaborik
52,2001-02-21,52,19,MIN,A,DAL,L,0,0,0,2,Marian Gaborik
53,2001-02-23,53,19,MIN,A,COL,L,0,0,0,0,Marian Gaborik
54,2001-02-24,54,19,MIN,A,NSH,L,0,0,0,0,Marian Gaborik
55,2001-02-26,55,19,MIN,H,VAN,L,0,1,1,4,Marian Gaborik
56,2001-03-01,56,19,MIN,A,CGY,T,1,0,1,0,Marian Gaborik
57,2001-03-02,57,19,MIN,A,EDM,L,0,0,0,0,Marian Gaborik
58,2001-03-04,58,19,MIN,A,VAN,W,1,0,1,0,Marian Gaborik
59,2001-03-06,59,19,MIN,H,STL,T,1,0,1,0,Marian Gaborik
60,2001-03-08,60,19,MIN,A,NJD,L,0,1,1,0,Marian Gaborik
61,2001-03-09,61,19,MIN,A,NYI,W,0,0,0,0,Marian Gaborik
62,2001-03-11,62,19,MIN,H,DET,L-OT,0,1,1,0,Marian Gaborik
63,2001-03-14,63,19,MIN,H,STL,L-OT,0,0,0,0,Marian Gaborik
64,2001-03-15,64,19,MIN,A,PHI,L,0,0,0,2,Marian Gaborik
65,2001-03-18,65,19,MIN,A,COL,L,1,0,1,0,Marian Gaborik
